"","ProductTitle","Price","Category","Ratings","Reviews","Description"
"1","1. Check each product page for other buying options. Price and other details may vary based on product size and color.","$1,295.00","Bicycle",4,"123","Check each product page for other buying options. Price and other details may vary based on product size and color."
"2","2. WEIZE Mountain Bike, 24/26/27.5 inch Outdoor Cycling Bike,18-Speed/High-Carbon Steel/Dual Full Suspension, Adjustable Ergonomic Seat for Men Women Adult, MTB Bicycle with Suspension Fork,Sleek Colors","$1,445.00","Bicycle",4,"4,567","WEIZE Mountain Bike, 24/26/27.5 inch Outdoor Cycling Bike,18-Speed/High-Carbon Steel/Dual Full Suspension, Adjustable Ergonomic Seat for Men Women Adult, MTB Bicycle with Suspension Fork,Sleek Colors"
"3","3. Huffy Stone Mountain Hardtail Mountain Bike for Boys/Girls/Men/Women, 20""/24""/26"" Sizes, 6 or 21 Speed Shimano Twist Shifting, Front or Dual Suspension, Comfort Saddle, Sleek Colors","$2,695.00","Bicycle",4.3,"99","Huffy Stone Mountain Hardtail Mountain Bike for Boys/Girls/Men/Women, 20""/24""/26"" Sizes, 6 or 21 Speed Shimano Twist Shifting, Front or Dual Suspension, Comfort Saddle, Sleek Colors"
"4","4. WEIZE Kids Bike, 14 18 20 Inch Children Bicycle for Boys Girls Ages 3-12 Years Old, Rider Height 35-60 Inch, Coaster Brake, Multiple Color Options","$2,995.00","Bicycle",4.5,"2,410","WEIZE Kids Bike, 14 18 20 Inch Children Bicycle for Boys Girls Ages 3-12 Years Old, Rider Height 35-60 Inch, Coaster Brake, Multiple Color Options"
"5","5. Royalbaby Stargirl Kids Bike Girls 12 14 16 18 20 Inch Children's Bicycle with Basket for Age 3-12 Years","$3,295.00","Bicycle",4.6,"11","Royalbaby Stargirl Kids Bike Girls 12 14 16 18 20 Inch Children's Bicycle with Basket for Age 3-12 Years"
"6","6. Electric Bike for Adults, Actbest Mars 20'' Fat Tire Folding Ebike with Peak 1000W Motor, 7 Speed 28MPH, 48V 499Wh Removable Battery Max Range 55 miles, Adjustable Bike Stem, Foldable Electric Bicycle","$149.99","Bicycle",4,"21","Electric Bike for Adults, Actbest Mars 20'' Fat Tire Folding Ebike with Peak 1000W Motor, 7 Speed 28MPH, 48V 499Wh Removable Battery Max Range 55 miles, Adjustable Bike Stem, Foldable Electric Bicycle"
"7","7. AVASTA Uranus 700C Road Hybrid Bike - Lightweight Aluminum Alloy Frame with 24-Speed Gearing for City Commuting - Dual Disc Brakes and Rear Cargo Rack for Men Women","$199.99","Bicycle",4.5,"81","AVASTA Uranus 700C Road Hybrid Bike - Lightweight Aluminum Alloy Frame with 24-Speed Gearing for City Commuting - Dual Disc Brakes and Rear Cargo Rack for Men Women"
"8","8. Jasion Roamer ST Electric Bike for Adults, 1200W Peak Motor Max 62miles & 28MPH City Cruiser Ebike,26'' Commuter Ebike, 528WH Removable Battery,7-Speed Electric Bicycles, Front Suspension Bicycles","$160.99","Bicycle",4.3,"141","Jasion Roamer ST Electric Bike for Adults, 1200W Peak Motor Max 62miles & 28MPH City Cruiser Ebike,26'' Commuter Ebike, 528WH Removable Battery,7-Speed Electric Bicycles, Front Suspension Bicycles"
"9","9. AVASTA Bilbo 18 20 inch Kids Bike for 3-10 Years Old Boys Girls with Kickstand & Dual Handbrakes Bell Adjustable Seat and Handlebar, Multiple Colors","$229.99","Bicycle",4.4,"309","AVASTA Bilbo 18 20 inch Kids Bike for 3-10 Years Old Boys Girls with Kickstand & Dual Handbrakes Bell Adjustable Seat and Handlebar, Multiple Colors"
"10","10. WEIZE Kids Bike,16 20 Inch Children Bicycle for Boys Girls Ages 4-12 Years Old, Rider Height 38-60 Inch, Coaster Brake, Multiple Color Options","$119.99","Bicycle",4.6,"398","WEIZE Kids Bike,16 20 Inch Children Bicycle for Boys Girls Ages 4-12 Years Old, Rider Height 38-60 Inch, Coaster Brake, Multiple Color Options"
"11","11. isinwheel U1 Electric Bike for Adults 500W Motor, 20 mph Folding Ebike, 14"" Adults Electric Bicycles with Smart Uphill, 280.8Wh Battery, 25 Miles PAS Range, Mini E Bikes for Adults and Teens","$110.15","Bicycle",4.2,"486","isinwheel U1 Electric Bike for Adults 500W Motor, 20 mph Folding Ebike, 14"" Adults Electric Bicycles with Smart Uphill, 280.8Wh Battery, 25 Miles PAS Range, Mini E Bikes for Adults and Teens"
"12","12. Hiland 20 inch Freestyle Kids BMX Bike,Beginner-Level to Advanced Riders with 360 Degree Gyro & 4 Pegs, Kids' Bicycles for Boys,Girls,Youth Multiple Colors","$159.99","Bicycle",4.1,"143","Hiland 20 inch Freestyle Kids BMX Bike,Beginner-Level to Advanced Riders with 360 Degree Gyro & 4 Pegs, Kids' Bicycles for Boys,Girls,Youth Multiple Colors"
"13","13. JOYSTAR Brockway Freestyle Kids BMX Bikes 20"" 24"" Kids Bicycles for 6-14 Years Old Boys Girls and Beginner-Level Riders 2 Pegs Multiple Colors","$599.99","Bicycle",4.6,"6","JOYSTAR Brockway Freestyle Kids BMX Bikes 20"" 24"" Kids Bicycles for 6-14 Years Old Boys Girls and Beginner-Level Riders 2 Pegs Multiple Colors"
"14","14. HILAND 26 27.5 Inch Mountain Bike, Mens and Womens MTB with 21 Speeds, High-Tensile Steel Frame, V Brake, Hardtail Bicycle for Adults","$331.09","Bicycle",4,"1,807","HILAND 26 27.5 Inch Mountain Bike, Mens and Womens MTB with 21 Speeds, High-Tensile Steel Frame, V Brake, Hardtail Bicycle for Adults"
"15","15. Dynacraft Magna Echo Ridge Mountain Bike – Rugged and Durable Design, Perfect for Teens and Adults Learning to Ride, Sturdy and Easy to Assemble, Ideal for Adventurers","$399.99","Bicycle",4.3,"258","Dynacraft Magna Echo Ridge Mountain Bike – Rugged and Durable Design, Perfect for Teens and Adults Learning to Ride, Sturdy and Easy to Assemble, Ideal for Adventurers"
"16","16. Electric Bike for Adults,Folding Ebike,Electric Bicycle with Removable Battery, 20MPH Commuting Electric Bike, High Brushless Gear Motor","$638.99","Bicycle",4,"1,225","Electric Bike for Adults,Folding Ebike,Electric Bicycle with Removable Battery, 20MPH Commuting Electric Bike, High Brushless Gear Motor"
"17","17. Mongoose Impasse Full Suspension Mountain Bike, Men and Women, 18-Inch Aluminum Frame, 29-Inch Wheels, Front and Rear Disc Brakes, Twist Shifters, 21-Speed Rear Deraileur, Silver","$679.99","Bicycle",4.4,"17","Mongoose Impasse Full Suspension Mountain Bike, Men and Women, 18-Inch Aluminum Frame, 29-Inch Wheels, Front and Rear Disc Brakes, Twist Shifters, 21-Speed Rear Deraileur, Silver"
"18","18. HILAND 24 26 Inch Adult Hybrid Bike, 21 Speed Commuter Bicycle, Bicycle for Women and Men with High-Carbon Steel Lightweight Frame Urban Bike","$142.49","Bicycle",4,"461","HILAND 24 26 Inch Adult Hybrid Bike, 21 Speed Commuter Bicycle, Bicycle for Women and Men with High-Carbon Steel Lightweight Frame Urban Bike"
"19","19. Hiland 20 Inch Kids Mountain Bike for Boys, Girls, Single Speed Kids Bicycles with Dual Handbrakes and Kickstand, Multiple Colors","$169.99","Bicycle",4.5,"4,105","Hiland 20 Inch Kids Mountain Bike for Boys, Girls, Single Speed Kids Bicycles with Dual Handbrakes and Kickstand, Multiple Colors"
