"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Bicycle","Royalbaby Stargirl Kids Bike Girls","Miss leading! The fan that was pictured shows a usb plug to charge cell phones. The one that we received did not have that option, yet the picture that was on the site showed it!! Will not use this site again","Reviewed in the United States on August 12, 2024","5.0 out of 5 stars","Color and size for 4 year old. Very well built and easy to put together.",5,NA
"2","Bicycle","Royalbaby Stargirl Kids Bike Girls","Koop","Reviewed in the United States on September 24, 2024","","Family member loves the bike, rides everyday, Soo cute and girlish, purchased another one  for someone's birthday gift!",5,NA
"3","Bicycle","Royalbaby Stargirl Kids Bike Girls","Kindle Customer","Reviewed in the United States on September 10, 2024","Nice bike","Came almost fully assembled and took only about 30 minutes to complete.  Bike pedals easily, training wheels are sturdy, and is designed to delight a 4 year old.  Love that it came in a 14 inch size.  Seat and handlebars are simple to adjust if necessary.  The only thing I don’t like about the bike are the white wheels, which already look dirty.  Overall though this is a great buy for a first ride.",5,NA
"4","Bicycle","Royalbaby Stargirl Kids Bike Girls","Batu’s Dad","Reviewed in the United States on November 9, 2024","5.0 out of 5 stars","Nice stylish and sturdy bike. Not sure why these little bikes need to be this heavy. My daughter enjoys it.",4,NA
"5","Bicycle","Royalbaby Stargirl Kids Bike Girls","SA","Reviewed in the United States on September 19, 2024","","This bike was the best Christmas gift for a little girl. She rode it all over the house before we could get her outside. The basket and the handlebars were a perfect addition for a pink/purple loving girl. It’s a light bike and easy to assemble. Breaks are easy to use. And she loves the bell.  We’ve had it for 6+ months and took it on a plane when we moved and it’s still going strong.  She loves riding it!",5,NA
"6","Bicycle","Royalbaby Stargirl Kids Bike Girls","Jen4knits","Reviewed in the United States on July 2, 2024","Size of bike","This was a gift. It was surprisingly easy to assemble, says the bike mechanic dad who put it together. The birthday girl loved it.  All the cutesy touches makes this bike a hit. The only flaw is the training wheel bars are made of a less sturdy metal and more care was needed when attaching.  Though they seem to do just fine on the road.",5,NA
"7","Bicycle","Royalbaby Stargirl Kids Bike Girls","dj","Reviewed in the United States on March 30, 2023","5.0 out of 5 stars","I bought this bike for my daughter's 7th birthday and she absolutely loves it! It's a beautiful blue color with pink accents and a cute basket in the front. The bike is very sturdy and well-made, and it was easy to assemble with the instructions provided. The bike also comes with a kickstand, which is very convenient for parking and storage.My daughter enjoys riding this bike around the neighborhood and to the park. She says it's very comfortable and smooth, and she likes the adjustable seat and handlebars. The bike has both hand brakes and coaster brakes, which are easy to use and provide good control. The bike also has a bell, which she likes to ring to alert pedestrians and other bikers.The bike is a perfect size for her, and I think it will last her for a few years. It's not too heavy or bulky, but it's also not too small or flimsy. The bike is suitable for different terrains and weather conditions, and it has good traction and stability. The bike also has reflectors on the wheels and pedals, which make it more visible and safe.I'm very happy with this purchase and I would highly recommend this bike to anyone looking for a quality bike for their girl. It's a great value for the money, and it's a lot of fun to ride. My daughter says it's her favorite gift ever, and she can't wait to go on more adventures with her bike!",5,NA
"8","Bicycle","Royalbaby Stargirl Kids Bike Girls","FRANK","Reviewed in the United States on August 31, 2024","","The bike was an art of work, the tires and tube's were worthless. Didn't know about having to replace the tires and tube before sending the bike too the kid. Seeing the bike at first glance and her bright eyes then Seeing her disappointed cause she can't ride her bike cause of the worthless tires and tubes. You could off warn ⚠️ me about the tires. I would have gladly paid extra for the replacement.",1,NA
"9","Bicycle","Royalbaby Stargirl Kids Bike Girls","Fadi Haddad","Reviewed in the United Arab Emirates on April 5, 2024","Well built and easy to assemble","it is good choice in respect of quality and prices . heavy one and we used YouTube video to assemble it . it was delivered without assembly although it was 0 cost when we order it from Amazon. Overall its recommended one and stylish",5,NA
"10","Bicycle","Royalbaby Stargirl Kids Bike Girls","Hanan","Reviewed in Saudi Arabia on June 14, 2023","4.0 out of 5 stars","متين وخفيف",5,NA
"11","Bicycle","Royalbaby Stargirl Kids Bike Girls","Shatouri","Reviewed in Egypt on February 24, 2023","","",5,NA
"12","Bicycle","Royalbaby Stargirl Kids Bike Girls","Lana","Reviewed in the United Arab Emirates on February 24, 2022","Sturdy bike","صناعة دقيقة و التركيب سهل و شكلها فاخر التغليف ممتاز",5,NA
"13","Bicycle","Royalbaby Stargirl Kids Bike Girls","Client d'Amazon","Reviewed in Canada on April 11, 2020","5.0 out of 5 stars","",5,NA
"14","Bicycle","JOYSTAR Girls Bike for Toddlers and Kids Age 3-10 Years","Nephera","Reviewed in the United States on November 4, 2024","5.0 out of 5 stars","My daughter loves this bike, it’s the perfect size for her and it’s her favorite color. The quality of this bike is really nice too!",5,NA
"15","Bicycle","JOYSTAR Girls Bike for Toddlers and Kids Age 3-10 Years","Aminata balde","Reviewed in the United States on March 5, 2023","","Cute bike, easy to assemble, my daughter loves it 😍😍😍 but for some reasons I had to put napkins in the hole to adjust the sit, it was wiggling, first time assembling a bike might be the reason 😁 and the brakes are a little bit hard to pedal maybe it will get better with some practices. Otherwise I am happy with my purchase . Make sure you read the instructions well and watch the tutorial , you can also refer to YouTube ☺️",5,NA
"16","Bicycle","JOYSTAR Girls Bike for Toddlers and Kids Age 3-10 Years","Aminata balde","Reviewed in the United States on June 9, 2024","Lovely little bike","The bike is super cute and sturdy. My daughter has an easy time riding with the training wheels. The 1 star off is for missing parts. We were missing a screw, but we were able to find something similar. The instructions also were for a different version of the bike, but we were able to figure it out.",5,NA
