"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","GamingChair","GTRACING Gaming Chair with Footrest","Hyperion","Reviewed in the United States on April 1, 2022","","I purchased this to set up my new office. After combing through the vast selection of other chairs and all the reviews, I decided on this chair and I could not be happier.Before I launch into my assessment of the chair, I just want to say that you should absolutely buy it if you are thinking about purchasing this particular one. I have had many desk chairs of varying prices, sizes, features, etc. and this chair has thoroughly impressed me.Let's start with the assembly, which was so easy and straightforward. I saw some complaints about having a hard time with setting it up, but honestly, just use your brain and all will be ok. I am sure many could set this up without the instructions, which I did until I got to setting up the built-in speakers.I sit in this chair daily for hours and it is SO comfortable. Being able to adjust the back to several different angles is fantastic. The head and lumbar pillows are also great at giving some added support; they never feel like they're in the way. Reclining the chair to its furthest extent offers a very comfortable resting position, and, along with the added foot rest, it truly is a remarkably comfy ""recliner"" chair. The armrests are adjustable and offer some rotation so you can find the sweet spot for yourself.The built-in speakers are nifty too. **Disclaimer: You must buy the Bluetooth USB Receiver to utilize this feature.** I wasn't expecting much from them, but I do find myself switching to use them for certain entertainment purposes like listening to background music while I work or when I am playing specific games, in particular horror or racing games. The sound is way better than I anticipated, though they do lack bass. The relay unit lasts for hours (days usually for me) and charges quickly enough to never create frustration.Some other notes:-I saw a few complaints about the packaging and indentations created from remaining bundled up in the box. However, I did not experience this at all. All of the cushioned pieces came out of the box well packaged and without blemishes of any kind.-There was an odor initially when taking it out of the box. Ya know, that warehouse smell. After an hour or so, the smell had completely dissipated.-In regards to the Top Critical Review for this chair; That customer is absolutely insane and I cannot fathom what they were expecting for a chair in this price range. I used to have a fancy $980 chair provided from my employer, the largest social media entity. Comparatively, I am far happier with this chair. Yes, there are some plastic parts (dust covers, gas lift cover, armrests) but the expensive chair had the same plastic components. I feel less tension in my lower back after spending 6+ hours in this chair vs the expensive one where I would find myself getting up to walk around every so often to relieve the pain in my lower back. Oh, and they had mentioned missing parts due to the box being damaged (which has no bearing on the product itself); those particular items cannot be lost as they are attached to the chair and in a special pouch located on the back of the chair (see photo). They obviously didn't realize that.All-in-all, this is an excellent purchase for anyone who is looking at a new desk chair. The price is phenomenal for the quality and the amount of features. There is also a good amount of colors to choose from so you can better match your style and decor.",5,NA
"2","GamingChair","GTRACING Gaming Chair with Footrest","Hyperion","Reviewed in the United States on May 12, 2022","","I’ve watched a lot of YT videos of this chair but was hesitant to order online but for $160 how bad could it be?Similar style chairs in Office Max start around $300 but with bonded leather which is commonly known to peel and tear over time.This is PU leather which is not as breathable but sturdy like vinyl without cracking or peeling.First off, assembly is extremely straight forward with incredible step by step instructions.  Hats off to whoever put it together.The seat is surprisingly comfortable and sturdy, as the YT reviews suggested but much more comfortable than I would’ve expected.  I needed a more firm and supportive chair so don’t expect to sink in and be plushy.Every video BASHED the speaker quality comparing it to laptop equivalence. I had low expectations and thought it was more of a gimmick but these are actually louder and having more bass than what YT videos would have you think.  Don’t expect full Bose type quality but for the size of the speakers I would compare it to a smaller JBL flip. These speakers DO NOT distort at high volumes or deep bass (my music of choice is EDM)My only complaint is the foot rest, I wouldn’t pay the money for it.  I’m 5”10 with slightly longer legs than normal and the footrest is more of a calf rest.  My feet hang off and I wish it could come out a few more inches.  The foot rest is not that sturdy and has some give. It’s not well crafted and not really worth using by if you’re under 5’10 than this May suit you well.All in all, exceptional quality, easy to assemble and I would definitely look into this as a really good alternative to the Respawn 110",5,NA
"3","GamingChair","GTRACING Gaming Chair with Footrest","mike","Reviewed in the United States on June 29, 2024","Excellent Chair, Easy Assembly, Great Price","This chair is exactly what I was looking for!  The assembly was a breeze thanks to the awesome manual that came with it.  It is very comfortable, and I love that it has such a wide recline range! The lumbar and head pillows are adjustable and are very supportive. The footstool is pretty decent, could be a bit longer for taller folks but it does okay, plus I don't plan to use that part too often.  The quality of the speakers is pretty good for the price of the chair and work great for meetings, watching YouTube, or streaming your favorite music. Overall, this is a great product and I highly recommend.",5,NA
"4","GamingChair","GTRACING Gaming Chair with Footrest","Amazon Customer","Reviewed in Japan on November 17, 2024","","商品の組み立ては説明書通りに作業をしていけば、簡単に組み立てできます。時間の多い、少ないは人によって違うと思いますので参考にはならないと思いますが、自分は２時間程度かかりました。椅子に座った感じは個人個人違うと思いますが、自分にはちょっと硬めに感じました。実は配達になった商品ですが、左のスピーカーに不具合があり、うまく音が出ませんでした。販売元にメールで問い合わせを行ったところ、土曜日だったのですが、すぐに連絡があり、２～３試してもらいたいとのことでした。指示通り試したみたのですが、改善されませんでした。そうするとすぐに「背もたれ」のみ代替え品を送付するとの連絡があり、倉庫が土日休みで月曜日の発送になるとのことでしたが、そのとおり火曜日には代替え品が配達になりました。代替え品は特に問題なく使用できています。品質管理をしっかりといいたいところですが、その後の対応は迅速・丁寧で素晴らしいと感じました。星を４としたのは品質管理の問題で-１です。",5,NA
"5","GamingChair","GTRACING Gaming Chair with Footrest","Amazon Customer","Reviewed in Japan on November 1, 2024","","",5,NA
"6","GamingChair","GTRACING Gaming Chair with Footrest","Amazon カスタマー","Reviewed in Japan on September 24, 2024","Very impressed","自分でも楽に組み立てが可能でした！最高の触り心地です！",4,NA
"7","GamingChair","GTRACING Gaming Chair with Footrest","T","Reviewed in Japan on October 21, 2024","","",5,NA
"8","GamingChair","GTRACING Gaming Chair with Footrest","佐々木公一","Reviewed in Japan on September 30, 2024","","組み立てがもっとわかりやすかったら、もっとカンタンだったらが率直な感想据わり心地なんかは確かに…ストリーマーが使ってるだけあります。",4,NA
"9","GamingChair","GTRACING Gaming Chair with Footrest","なゆ",NA,"GREAT CHAIR FOR A GREAT PRICE!","",5,NA
"10","GamingChair","GTRACING Gaming Chair with Footrest","Tach",NA,"サポートがしっかりしています。","ありがとうございました",5,NA
