"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","MS. O","Reviewed in the United States on November 22, 2024","","The Amazon Fire Max 11 is an incredible all-in-one device! The vivid 11” display is stunning—perfect for streaming movies, reading eBooks, or gaming. The colors are vibrant, and the resolution makes everything look crisp and clear.It’s lightweight, easy to handle, and has a long-lasting battery that keeps up with my busy day. Whether I’m binge-watching shows or tackling work tasks, this tablet handles it all effortlessly.The overall performance is smooth, with plenty of storage for apps and media. It’s a fantastic value for the price. Highly recommend this tablet to anyone looking for a reliable, multifunctional device!",5,NA
"2","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","DoomOfSarnath","Reviewed in the United States on September 17, 2023","","Well, for $190-$230 this tablet might not be the best at one particular thing, but thanks to some common-sense decisions and Amazon's resources and commitment, it's competent enough at everything, all at once.Media consumption, retro games, word processing, digital art, battery life, you name it.For media consumers, it has an obscenely long battery life and a pretty nice screen. Contrast is surprisingly good for an IPS display (the black areas look black), colors are very poppy, and the 5:3 aspect ratio means you're not losing much space on either 16:9 or 4:3 content.For retro games, let's talk about the processor. It has a Mali G57 MC2, 2 Cortex A78 cores, and 6 Cortex A55 cores. Anyone who keeps up with Android hardware will know this is a bizarre setup. The Mali G57 MC2 and Cortex A55s are all modest, cheap, power-sipping technology. While the Cortex A78s are freakishly fast for this price point.But I'm certain Amazon did this on purpose, and it's responsible for the great battery life, which is essential for what is basically a media consumption tablet. The modest GPU and high number of ""little"" cores keep battery drain minimal (this is a 5w chip, in a tablet, where 7-10w chips are the norm) while 2 A78s give it some serious oomph for the right sorts of tasks.This accidentally makes this little tablet a retro gaming powerhouse, as that relies heavily on single-core performance, with the GPU and secondary cores being an afterthought.So, it's a tablet that just excels at anything where you'll be using the screen a lot. Reading, movies, old games, etc. It may struggle with native Android games due to the weaker GPU, but compared to retro games there aren't a lot of worthwhile Android games anyway IMO.The keyboard and stylus are also very well executed.I'm typing this review on the keyboard case, and the keys are a nice size thanks to the TKL form factor, with short travel and a nice tactile, springy feel. The trackpad is small, but accurate and doesn't ""lose"" my finger.The stylus itself uses a user-replaceable AAAA battery. I like this decision, because small Li-po batteries wear out fast, and the AAAA means that the stylus has a super long life without worrying about whether you'll be able to find a replacement in a few years. The stylus is also magnetic and clips to the side of the tablet.The stylus is pretty accurate. I don't notice much parallax or judder. My Galaxy Tab S8 actually had slightly more parallax. However, there is more input lag than you'll get with something like a Galaxy Tab S8 or iPad with Apple Pencil. It's a quite noticeable amount of input lag compared to those two. I will mention, this tablet is about 1/3 the price of those devices and actually has a longer battery life. So it's still better than you expect for the price. But will definitely be more of an ""entry level"" art tablet instead of something outstanding.All in all, I still think you're getting a lot more for your money with this tablet than the others available. Amazon's reach with e-readers, with keyboards, with stylus peripherals, with tablets, and their resources and supply chain (ie, being able to order unusual tablet SoCs) has definitely given the Kindle Fire 11 a wider spread of abilities and better quality than your ordinary budget tablet. I can't really name anything I'd expect to be better for the price.The only real flaw is software; since Google Play is not preloaded and Amazon is not putting a lot of effort into their own App store, be prepared to sideload some apps if you want to use the broader spectrum of abilities this tablet has.",5,NA
"3","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","The Bearded Mystic","Reviewed in the United States on September 5, 2023","""Versatile and Powerful Tablet!""","This is by far the best Fire Tablet since the HDX series, and my favorite.  To put into context my love of the Fire Tablet, I’ve owned (or bought and returned) the following over the past 11 years:Fire 7 (2012/2014/2020),Fire HDX 7 (2014),Fire HD 8 (2018),Fire HD 8+ (2020/2022),Fire HD 10 (2018, 2019),Fire HD 10+ (2021),Fire Max 11 (2023).Of those, the ones I kept or kept the longest was the Fire HDX 7, the Fire 7 (2014), and the Fire HD 10 (2018).Specs for the Fire Max 11 can be found within the product description.Design and BuildThe Max 11 boasts a sleek and modern design, coupled with a build quality that feels robust and premium. Its lightweight aluminum structure makes it convenient for both work and leisure, allowing easy handling and portability. I like that it went back to a similar size/ratio of the 2018 HD 10.PerformanceEquipped with a more powerful processor than its predecessor, the Max 11 is capable of handling various tasks smoothly. Whether I am browsing the web, watching videos, or using multiple apps simultaneously, the experience is fluid and lag-free, especially compared to my HD 10.While not ‘blazingly fast’, it IS much faster than I expected.  Out of curiousity, I wound up trying it with a bluetooth keyboard/mouse combo, and for the first time-I feel this is a possible viable laptop replacement for light to medium users.  My HD 10 does not make a viable laptop replacement.  Great multitasking ability, can run enough apps at once with little to no lag.The speakers are merely adequate, if not a tad disappointing.  Thought normally I either use ear buds or a bluetooth speaker.  I don't miss having a head phone jack, and love having the quite responsive finger print sensor on the power button.DisplayThis has been probably my biggest surprise.  The display is vibrant and crisp, offering excellent viewing angles. It renders colors accurately, making it a joy to use for both media consumption and reading.  I do wish it was a TAD brighter at times, but the vibrancy of the colors makes up for it most of the time.  I’d wondered how much of a viewing difference going from the 10 to the 11 would be, and it’s shockingly a pretty big difference.  The Max 11 almost feels like a small tv, or laptop screen at times.Battery LifeBattery life has been good.  It’s not the best nor the worst, and should be more than adequate for most users.  Since I have chargers adjacent to most places I use the tablet in my house, I’ve also not needed to run it low.ValueOne of the reasons I’ve had so many Fire tablets (I’ve owned only one other non Fire tablet, a 6th gen iPad mini that I use for my business) is that I love the value proposition and ease of use.  Reviewers like to talk down the Fire software, but I have never minded it.  I am admittedly deep into the Amazon ecosystem with movies, books, music, etc., so the operating system has always made it easy to access and use that stuff.  I have also side loaded the Play store (I did this on my HD 10 also), so I have access to almost the entire Play store of apps on my Max 11.  If one is really ambitious, you can essentially turn it into more an Android operating system.  Personally, I have never like the tablet OS offered from iPad or Android tablets.  When the Fire Max 11 was first announced, I was excited about the specs, but hesitant on the price.  So I waited until Prime Day to buy it, also taking advantage of the trade in offer.  In terms of what I paid ($229-$30 trade in gift card-$46 trade in 25% off-$80 prime day offer=$73.99), of course it’s an awesome value.  At $229…I would suggest either going refurbished if available or just waiting it out for the inevitable discounts (at the time I write this, it’s on sale for $189.99).  But I still think it’s a great tablet at $229, and wouldn’t fault anyone that pays that.OverallIn conclusion, the Fire Max 11 strikes a balance between aesthetics and functionality, offering a modern solution that should meet the needs of most while offering value and longevity. It might be a worthy addition to your tech arsenal, promising reliability and efficiency in daily use.Rating: 4.5/5",5,NA
"4","Laptop","Certified Refurbished Fire HD 10 tablet","Alex","Reviewed in the United States on October 31, 2023","","I recently acquired the Certified Refurbished Fire HD 10 tablet, and I must say, it's a fantastic budget-friendly alternative for anyone in need of a reliable tablet. This refurbished device offers a great value for the price, with its impressive display, long-lasting battery, and ample storage options.Certified Refurbished Assurance: One of the standout features of this tablet is its ""Certified Refurbished"" status. It's reassuring to know that the device has been thoroughly tested and certified to look and work like new. Plus, it comes with the same limited warranty as a brand-new tablet, providing peace of mind for buyers.Long-Lasting Battery: The Fire HD 10 tablet boasts a 12-hour battery life, which is impressive for a device in this price range. Whether you're using it for work, entertainment, or browsing, you can rely on it to last throughout the day without needing constant recharging.Ample Storage Options: With 32 or 64 GB of internal storage, this tablet provides enough space for your apps, documents, photos, and videos. If that's not enough, you have the option to expand your storage by up to 1 TB with a microSD card (sold separately), ensuring you'll never run out of space for your digital content.Vivid Full HD Display: The 10.1"" 1080p Full HD display is undoubtedly one of the tablet's highlights. It offers a vibrant and crisp visual experience, with more than 2 million pixels. The fact that it's 10% brighter than the previous generation makes it even more appealing for media consumption, reading, and web browsing.Affordable Price Point: This Certified Refurbished Fire HD 10 tablet provides exceptional value for its cost. It's an affordable option for individuals and families who want a reliable tablet without breaking the bank.Amazon Ecosystem Integration: If you're already immersed in the Amazon ecosystem with Prime membership, Kindle books, or other Amazon services, this tablet seamlessly integrates with them, enhancing your overall experience.The Certified Refurbished Fire HD 10 tablet is a solid choice for those seeking a budget-friendly tablet that doesn't compromise on quality. Its Certified Refurbished status ensures reliability, the long-lasting battery is perfect for all-day use, and the bright Full HD display enhances your viewing experience. While it may not have all the bells and whistles of premium tablets, it offers exceptional value for the price. Whether you're using it for work or play, this tablet is a practical and cost-effective solution that deserves consideration.",5,NA
"5","Laptop","Certified Refurbished Fire HD 10 tablet","Kindle Customer","Reviewed in the United States on September 12, 2024","","It worked, looked and felt brand new. Couldn't even tell that it was refurbished. It's very easy to use I've owned a few smaller Kindles and I bought a large one like this a year ago and I took it with me on a trip to my mom's house and showed it to her she had a easy time learning how to use it and play games on it so I ended up letting her keep it. I got this one to replace mine and I love it. Very easy to use to stream Netflix, Disney plus etc on, has a good selection of games on the app store with most being free or cheap but the main reason I bought it is to read books on and comics from comicology. I would highly recommend",5,NA
"6","Laptop","Certified Refurbished Fire HD 10 tablet","Dave","Reviewed in the United States on September 8, 2024","A Remarkable Deal: Certified Refurbished Fire HD 10 Tablet","I purchased this tablet to use for lyrics, backing tracks, and set lists. I’m a solo musician and a side man for others including some large concerts. I researched some programs and tablets that would suit my needs. I find this 10” tablet to be just the ticket. I read a few complaints that it was slow. I find it plenty fast, easy to transfer files from a PC, the sound is pretty good using Bluetooth but better hard wired, no gaps or drop outs in the sound. It’s big enough to read set lists and lyrics at five or six feet. I have also used it for sheet music on occasion with success. All in all a great product and a bargain.",5,NA
"7","Laptop","Certified Refurbished Fire HD 10 tablet","Sunshine","Reviewed in the United States on February 24, 2024","","I purchased the Amazon HD 10 tablet last year. The first one was not functioning properly so I was able to return it and receive a second one from that point up until now the beginning of 2024 the experience has been subpar. Though I have an SD card for additional storage the ram just isn't there and once you start trying to maneuver your apps it starts to slow down tremendously. I did a factory reset at one point and reinstalled specific items and yet the screen would turn on and off, would not basically listen to commands?I called Amazon and told him what the problem was and that I have been an Amazon customer for many many years as most of you probably are, they were not willing to accept the return I do understand however I keep my items and pristine condition so they allowed for a replacement. I mailed back my tablet and it's original box and all content, they sent me a refurbished one which I was a little concerned about. Upon startup I realized that I'm completely ad free which is great! And it seems to me running very smooth so I have to say that the refurbished item seems to be working better than the initial two new ones.This won't be used for anything heavy like gaming, doing a lot of video content, never was intended for that use but it is now a secondary tablet which allows a family member to utilize on their own.I would recommend the Amazon tablets if you want something entry and you're not concerned about running out of storage you can put your own MicroSD in there and I think that it's a good value for the money.Update: 4.8.24I've been using this tablet since I received the refurbished one from amazon. And today this is only going to be a secondary used tablet for the primary reason of its slow running ability! It takes forever to load an app that is pre-installed and if you're wanting to get battery life out of this I would say it's average sometimes below average. I have owned Amazon products for many years but I feel as though they are still not in line with other tablets that are more mainstream. So, I would not engage and purchasing any further Amazon tablets because I just feel that the memory, ram, general build quality is just subpar at best.",4,NA
"8","Laptop","HP Stream 14 HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set)","rick ellen mcintyre","Reviewed in the United States on November 18, 2024","","list of reasons why this deserves 5 stars.1. looks cool.  it looks like carbon fiber.2. it's really fast.  don't know if it's because of the 16 gigs of ram or the 4 core processor but  it's really quick.3. the price.  this cost a little more than a notebook and you get a lot for it.4. all the connections i needed. .  hdmi for a second monitor ,  high speed 3.0 usb's to run my interface and a 3.0 usb-c.5. the hotface usb hard disc and power hub are really handy.  thanks for the great deal",5,NA
"9","Laptop","HP Stream 14 HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set)","Daniela","Reviewed in the United States on October 30, 2024","","It’s lightweight and portable, which is great for taking it on the go. The battery life is impressive, lasting all day on a single charge, so I can work or relax without worrying about finding an outlet. I also appreciate the smooth performance for basic tasks, thanks to its efficient processing power.",5,NA
"10","Laptop","HP Stream 14 HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set)","MelloPi","Reviewed in the United States on May 25, 2024","cheap and works great","Windows S Mode and McAfee are glitchy performance killers and restrictive applications.  Switching out of Win 11 S mode should be a straight forward process but it just does not work as it should, along with McAfee installed, whether you want it or not.  McAfee acts like a worm virus, intrusively imbedding itself deep into system architecture instead of being a gate keeper like other anti-virus apps.  Windows S Mode dose not allow you to install and run any app that is not Microsoft verified and found on the Microsoft Store.  In S Mode, you cannot install and run any browser other than MS Edge or Bing.  There is an app within the MS Store to switch out of S mode but it will not work because, I suspect, of the bloated software that launches when you first turn on and set up this laptop.  Switching out of S Mode is permanent.  All the advise and direction I found to get this switch to work had failed.  Lots of frustrated people out there with the same issue.  I finally got MS Support on the phone and they told me this is a very common problem with this product and the only way to resolve it was to reset the PC.  A total reset, wiping the OS and all files you may have added.  No big deal as this is a new PC and I did not transfer anything from my old PC.  After the PC was reset, I was able to switch out of S mode so that I now have Win 11 Home instead of Win 11S Home.  At the same time, a McAfee install popup was automatically prompted so I could select Do Not Install.  This was all a bit of a pain but other than that, this laptop is not so bad.  The display colors are not as vibrant as I hoped but with a resolution of only 1365 x 768, I should have expected that.  However, the graphics display very well on a connected higher resolution monitor and it handles steaming video from Amazon Prime Video beautifully.  I hope this information can help someone avoid the frustration of dealing with what was intentionally sold as a very restrictive operating environment.  Getting rid of S Mode and McAfee gives you back unrestricted use of your laptop.",4,NA
