"Rank","Category","Product Name","Product Description","Rating","Price"
1,"Accessories and Supplies","Datacolor Spyder Print - Advanced Data Analysis and Calibration Tool for Optimal Print Results, Perfect for Photographers, Graphic Designers, and Printing Professionals  ",NA,2.9,344
2,"Accessories and Supplies",NA,NA,NA,NA
3,"Accessories and Supplies",NA,NA,NA,NA
4,"Accessories and Supplies",NA,NA,NA,NA
5,"Accessories and Supplies",NA,NA,NA,NA
1,"Camera and Photo","Datacolor Spyder Print - Advanced Data Analysis and Calibration Tool for Optimal Print Results, Perfect for Photographers, Graphic Designers, and Printing Professionals  ",NA,2.9,344
2,"Camera and Photo",NA,NA,NA,NA
3,"Camera and Photo",NA,NA,NA,NA
4,"Camera and Photo",NA,NA,NA,NA
5,"Camera and Photo",NA,NA,NA,NA
1,"Car and Vehicle Electronics",NA,NA,NA,NA
2,"Car and Vehicle Electronics",NA,NA,NA,NA
3,"Car and Vehicle Electronics",NA,NA,NA,NA
4,"Car and Vehicle Electronics",NA,NA,NA,NA
5,"Car and Vehicle Electronics",NA,NA,NA,NA
1,"Cell Phones and Accessories",NA,NA,NA,NA
2,"Cell Phones and Accessories",NA,NA,NA,NA
3,"Cell Phones and Accessories",NA,NA,NA,NA
4,"Cell Phones and Accessories",NA,NA,NA,NA
5,"Cell Phones and Accessories",NA,NA,NA,NA
1,"Computers and Accessories","Logitech 720p Webcam Pro 9000  ",NA,4.3,NA
2,"Computers and Accessories",NA,NA,NA,NA
3,"Computers and Accessories",NA,NA,NA,NA
4,"Computers and Accessories",NA,NA,NA,NA
5,"Computers and Accessories",NA,NA,NA,NA
