"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Fly","Reviewed in the United States on November 20, 2024","","Great price has a hourly chime and alarm.",5,NA
"2","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Laure J","Reviewed in the United States on October 17, 2023","","My son is really happy with this watch. He wears it for work and pretty much everywhere he goes. It has a chunky face and is a substantial watch. All the functions work, too. It's a great watch for the money.",5,NA
"3","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Waluigi Time!","Reviewed in the United States on June 11, 2024","Work watch","I love this watch! Stylish, Rugged, and easily fits larger wrists. All the features I could want at an amazing price! My only criticism would be getting it set up is not the most intuitive process out there, hang on to the directions. It’s a little difficult to navigate the various functions the watch offers.",5,NA
"4","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Kali","Reviewed in the United States on October 13, 2023","","Watch seems okay but I can't figure out how to get it out of the time-setting mode?  I have pushed each of the four buttons and held them down for several seconds but either the  house or minutes keep flashing???  Can someone enlighten me?",4,NA
"5","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","agronyc","Reviewed in the United States on February 12, 2023","","Full stop, hands down, Lux stack....Yes, Lux...for less than 20 bucks - you will not find a better Deal on a Watch!Looks Amazing, Functions exactly as described, water resistant (as described)Plastic, but feels very solid and sturdy ....and actually has a nice weight to the watch overall (for a plastic watch this means alot)The Look is trendy (chunky plastic watches are ""in"", also looks hi-tek (reminds me of a watch Neo would have in the Matrix movies), it looks easily readable, the EL light is as you can see, very awesome!Really, IMHO, very attractive overall.  Along with being fully functional as noted above.I said this is a Lux watch...Yes,  for less then 20 dollars.Think about that.In today's tulmultuous times, this is the perfect way to keep your time.In conclusion, a watch that belongs in every watch collection.",5,NA
"6","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","agronyc","Reviewed in the United States on July 27, 2024","Works great!","Needed a watch that could take some abuse at work and not break the bank. Perfect. It's easy to see, takes it's licks and is extremely great value.",5,NA
"7","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Chris","Reviewed in the United States on July 13, 2024","","Product arrived in a timely manner.  Took a while to figure out the day, i.e., Friday, Saturday...  Can't seem to change the date, which is off by one day.  Still testing.  UPDATE:  In less than six months the watch died.  I went to change the battery and it went downhill from there. Once I pulled the plastic from the battery to change it nothing worked.  I had purchased a fresh pack of 2025 so I know it wasn't the new battery.",5,NA
"8","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","sa","Reviewed in the United States on August 25, 2024","","This is a real beater and in my opinion is it a legit replacement for a G-Shock. It has all the usual features (stop watch, alarm, date) and it is easy to read as well as comfortable to wear. Do be aware that the watch is huge and bulky, you are not gonna win any fashion contests with this.The cons of this watch are fairly small and simple but they are significant enough to make it lose 2 stars from my rating. The first and most important issue is the manual. I tried searching for it online and it is impossible to find, if you lose it you are SOL so I have taken the trouble of taking pictures of it and putting them in this review in case some helpless soul comes to this page looking for the manual.The second issue is that the watch has this thing on its display (marked with red in the last picture) that seems to be tied to the seconds but I have no idea what it does. The manual doesn't even acknowledge its existence and frankly it takes a significant portion of the display real state.Other than it is a really good watch. The light is bright, the strap is comfy, it looks like something the Navy SEALS would wear while raiding Bin Laden. I'd recommend it.Edit: Amazon scrambled all of the pictures and messed up the order. Amazing work Amazon.",1,NA
"9","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Yasser C.","Reviewed in Canada on November 19, 2023","The Watch I’ve been looking for","i order it for my nephew and he love it",3,NA
"10","watch","Amazon Essentials Men's Digital Chronograph Black Resin Strap Water Resistant Watch","Yasser C.","Reviewed in Canada on November 19, 2023","","Très bonne montre",3,NA
